epoch,loss
1,0.6905451277155935
2,0.1740169999776063
3,0.11133383577804506
4,0.09415861922833654
5,0.07668500927127438
6,0.06799732111854317
7,0.05879400693524031
8,0.052958495225067494
9,0.04911875476439794
10,0.05194919418405603
11,0.04853477057667426
12,0.04669984719819493
13,0.04712557180980106
14,0.04714810070984157
15,0.046926363106862996
16,0.04623238043284711
17,0.04498570315815784
18,0.044610298664113625
19,0.0440096456879451
20,0.044326772154481324
21,0.04361116669980096
22,0.0437787613015116
23,0.046156060272528804
24,0.04486740495503685
25,0.042985453787777156
26,0.04238864232176616
27,0.04183597876517861
28,0.042958536403782575
29,0.04248159318978404
30,0.04053139999324893
