epoch,loss
1,0.5682955527747119
2,0.10372532908747226
3,0.032725562467987156
4,0.025390678119880182
5,0.020890283248858686
6,0.0181663240087621
7,0.016412157760818065
8,0.013536833778575615
9,0.012803671697591558
10,0.011559225595843645
11,0.011379193560576734
12,0.01042246881780433
13,0.010957127781929794
14,0.010435331773794727
15,0.009226592389843713
16,0.008974052379252735
17,0.008659675372419533
18,0.008082315130274237
19,0.008042496778530838
20,0.009184030022610116
21,0.008481499152602974
22,0.007781854997400517
23,0.009114254139547731
24,0.007338810326922455
25,0.007117151846120387
26,0.0069749817988018934
27,0.009057871583435271
28,0.0070254883188524365
29,0.006597240823378534
30,0.0062757976479644395
