component,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.42762604,0.42762604
2,0.34111327,0.76873934
3,0.19148786,0.9602272
4,0.025331408,0.9855586
5,0.003928685,0.9894873
6,0.0026362364,0.99212354
7,0.0014592293,0.9935828
8,0.0011855412,0.9947683
9,0.00086019014,0.99562854
10,0.0005207822,0.9961493
11,0.00047939623,0.9966287
12,0.00038131693,0.99701
13,0.0002975453,0.99730754
14,0.00022187403,0.9975294
15,0.00019835339,0.99772775
16,0.00018564209,0.9979134
