k,silhouette,bic,aic,selected
2,0.2973403036594391,6234.111216452169,6162.994155883789,False
3,0.24459530413150787,6212.462940224796,6103.91584777832,True
4,0.26618415117263794,6258.406491389999,6112.42936706543,False
5,0.2620002031326294,6289.929754469266,6106.522598266602,False
6,0.16671355068683624,6306.303740815134,6085.466552734375,False
7,0.2434314787387848,6362.57929271276,6104.312072753906,False
8,0.2181795835494995,6395.634919683629,6099.93766784668,False
