epoch,loss
1,0.5109589941523693
2,0.06542314428054256
3,0.031476088926012134
4,0.026121228312452633
5,0.022714069412078385
6,0.019178832271768722
7,0.016956265785811858
8,0.014453346473107368
9,0.012996679792801539
10,0.0134701709849415
11,0.012570386074115465
12,0.01112037064668573
13,0.010372543650000919
14,0.010025871963596639
15,0.009379206489725614
16,0.009438106019831733
17,0.009328734624073094
18,0.008736089165150016
19,0.009474808982584947
20,0.010957736269007494
21,0.0097497221381392
22,0.008851112797856331
23,0.008420933796851724
24,0.008060219433204627
25,0.008258631999064008
26,0.008273830464868634
27,0.007743140832049611
28,0.007199490523356714
29,0.007343844579601729
30,0.00782090884828825
