epoch,loss
1,0.5699459619728136
2,0.09818168559376104
3,0.06885512393933756
4,0.063428106315342
5,0.062464284952040074
6,0.06061246071332767
7,0.05935177919857296
8,0.06058527096922015
9,0.059233269895668385
10,0.058938216464019116
11,0.05892387428033499
12,0.05722199343604806
13,0.05852072984900004
14,0.055755153942255324
15,0.05462667695534082
16,0.05520102703644906
17,0.05422109737992287
18,0.053559771474496816
19,0.053264999095304515
20,0.05336298131280475
21,0.05352689661545518
22,0.055113909743082376
23,0.05352883988324507
24,0.05690119479909355
25,0.05350237371928898
26,0.052278849537725804
27,0.05255169030508877
28,0.05263065298398336
29,0.052442378330009955
30,0.052019290810013996
