k,silhouette,bic,aic,selected
2,0.09375597536563873,-2465.347994087737,-3606.963966369629,True
3,-0.018157919868826866,-2229.3550145315967,-3943.65047454834,False
4,-0.06138923764228821,-1992.2292758812187,-4279.2042236328125,False
5,-0.10356998443603516,-1522.3767382196102,-4382.031173706055,False
6,-0.09923604875802994,-1037.6510468714778,-4469.984970092773,False
7,-0.14440497756004333,-690.8285842831119,-4695.841995239258,False
8,-0.05376235768198967,-38.429553091229536,-4616.122451782227,False
