epoch,loss
1,0.4687630398037993
2,0.057615231446645876
3,0.020347302664577224
4,0.010055457678749973
5,0.007940467556271657
6,0.0070543824407605475
7,0.006670551340061205
8,0.006139990143523908
9,0.0062053103494331425
10,0.005968197174140333
11,0.005516777953339947
12,0.005833631019211478
13,0.005759136078672277
14,0.005440463107884114
15,0.005160463192028764
16,0.005050242507692288
17,0.005648112571280863
18,0.0036262001002920264
19,0.004866261742319222
20,0.004621433594298584
21,0.0036056500192685626
22,0.00316951886670273
23,0.0026974451388979766
24,0.002615626286255357
25,0.002569574810978439
26,0.0031296765449008454
27,0.0026447027030596397
28,0.0024340157425835913
29,0.0029187013314645968
30,0.004267520851881048
