PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,Round,Phase,Individual,Puzzler,Cohort,cluster
-1.926941480961848,0.8848427125562013,0.215340382335758,-0.1089486813261535,-0.7016824758810258,-0.4135091725804693,-1.0009129287814462,-0.6678117115983562,-3.113777139346207,-1.529575222871017,0.731445390876611,1.8076297987173016,2.4518602413704347,round_3,phase3,1,1,D1_4,0
-2.049088670598035,-1.2995385094435397,-0.5398110076963264,2.060467746969315,-0.7493858296797324,0.8716532263192189,0.6890936872769438,0.3370768834997099,-0.4687557120355566,-1.504836216475698,1.5271794195259838,-1.9350227942695049,-0.0595375955699449,round_3,phase2,1,1,D1_4,0
-1.5442765881431455,-0.9677424988194396,-0.0373006013182821,2.2979208547747416,-0.9101375819633596,-0.5117944793086685,0.4322654785930412,-0.6158845990371249,-0.5372231718574715,-2.0436372581769375,-0.5010962858281535,-0.9952323805042108,-0.0992462654833748,round_3,phase1,1,1,D1_4,0
-1.796817598864949,0.0935584482543798,0.894180098820952,0.9798444050201746,-1.0162295893337123,3.5445897198517904,0.6332191713932275,-0.8901404629148906,-0.4697700159375926,-1.4563996905269234,-0.7142635922615794,0.4445531214330019,-1.365957530159341,round_2,phase3,1,1,D1_4,0
-1.94172340132456,-1.2331952240887087,-1.260485684296138,2.4161171511265063,-1.0095756413506891,-0.9462223365929932,1.003646832661489,-0.2155311200663482,-1.3474655677614102,-1.622629248476696,-0.062799771820585,-1.1976601788617405,-0.9030639096693018,round_2,phase2,1,1,D1_4,0
-1.601281611641482,2.572058703280948,1.443364151471965,-0.0609453982605077,-0.9776517555421842,5.149518512290908,0.8536539184742066,2.5852325649122845,-1.4746539351820624,-1.4558032886520982,0.7429039261557502,-2.2720684957061255,0.9936480444791812,round_2,phase1,1,1,D1_4,0
-1.6073616306477254,-0.8040383941964749,-1.7013347778378405,-0.9351662287302476,-0.5616927769042594,0.1966158024930958,0.7648451645928748,-0.7170345351211138,0.2072564584470538,-1.1613749282693049,-0.0236161086767255,-1.094201483543158,-0.0044217767290194,round_4,phase3,1,1,D1_4,0
-2.0173094937410174,-0.5323612428579576,-0.5450331684571023,6.161289525884044,-1.0224551992026198,0.5110574767880921,-1.84481821105792,-0.6095941382847097,-0.2779070178053931,-1.3616326301093356,-0.1666052681381177,0.2947247973152249,-0.0156507716177213,round_4,phase2,1,1,D1_4,0
-1.5677793417534551,-1.212696729307885,-0.7681736622655917,0.7108587182389322,-0.8642180638909753,0.1343405963029437,0.6831136825366104,-0.7008962125456805,-1.3213033256038624,-1.0571670192308342,0.1582552731695209,-0.757293173536303,-0.3808839579271448,round_4,phase1,1,1,D1_4,0
-1.9400168653625711,-0.5921814698213629,0.0972826132690812,-0.3137431614420085,-0.7990122551643457,1.0459278285445188,0.4955531954042108,-1.2305966325688418,-3.9231548636328,-1.6254042212665507,1.3936177562384129,-0.3991287617422142,0.0479166679937142,round_1,phase3,1,1,D1_4,0
