PLS1,Round,Phase,Individual,Puzzler,Cohort
-0.6453192766434017,round_4,phase1,9,1,D1_1
0.5884542938822587,round_1,phase3,9,1,D1_1
-0.41249784304842196,round_1,phase2,9,1,D1_1
-1.3510537377371763,round_1,phase1,9,1,D1_1
-1.0728335502815343,round_3,phase3,10,1,D1_1
-2.7271576865860894,round_3,phase2,10,1,D1_1
-0.9537077866988806,round_3,phase1,10,1,D1_1
-2.8382255479812866,round_2,phase3,10,1,D1_1
0.24220268330662967,round_2,phase2,10,1,D1_1
-2.5306918810337944,round_2,phase1,10,1,D1_1
-1.0062268135930426,round_4,phase3,10,1,D1_1
0.11346920855179332,round_4,phase2,10,1,D1_1
-1.556003000423107,round_4,phase1,10,1,D1_1
-0.7076348863759929,round_1,phase3,10,1,D1_1
-3.5183115635550517,round_1,phase2,10,1,D1_1
-1.235030880957113,round_1,phase1,10,1,D1_1
0.2805229610133189,round_3,phase3,11,0,D1_1
-0.07470574091162344,round_3,phase2,11,0,D1_1
0.3562446994395629,round_3,phase1,11,0,D1_1
0.2668178530316643,round_2,phase3,11,0,D1_1
-0.386761675103055,round_2,phase2,11,0,D1_1
-1.0159228585765525,round_2,phase1,11,0,D1_1
-0.39516338564099357,round_4,phase3,11,0,D1_1
-0.2561154074234986,round_4,phase2,11,0,D1_1
0.9663168055553801,round_4,phase1,11,0,D1_1
-0.8383188799603261,round_1,phase3,11,0,D1_1
-1.1921100988970048,round_1,phase2,11,0,D1_1
-0.8009960181507928,round_1,phase1,11,0,D1_1
-0.42310622060987685,round_3,phase3,12,0,D1_1
-0.4351877127073668,round_3,phase2,12,0,D1_1
-1.569946489486047,round_3,phase1,12,0,D1_1
-1.218658866149957,round_2,phase3,12,0,D1_1
-1.0946064097307566,round_2,phase2,12,0,D1_1
-0.016351774769421044,round_2,phase1,12,0,D1_1
-0.4311211650350266,round_4,phase3,12,0,D1_1
-0.3828429052926595,round_4,phase2,12,0,D1_1
-1.1118451468895443,round_4,phase1,12,0,D1_1
2.044088137349633,round_1,phase3,12,0,D1_1
0.45518812034419476,round_1,phase2,12,0,D1_1
0.04341199789848485,round_1,phase1,12,0,D1_1
