Round,Phase,Individual,Puzzler,Cohort,pa_score,na_score,emotional_cluster_id,emotional_cluster,prob_emotional_0,prob_emotional_1,prob_emotional_2,prob_emotional_3
round_3,phase3,1,1,D1_4,2.2,1.3333333333333333,1,Tense/Stressed,4.013554664856655e-07,0.8510455443061635,3.844992751941382e-05,0.14891560441085053
round_3,phase2,1,1,D1_4,2.8,1.8333333333333333,3,Alert/Anxious,1.2461627497339361e-28,0.007002617194809538,2.7840905611147497e-22,0.9929973828051905
round_3,phase1,1,1,D1_4,2.8,1.5,1,Tense/Stressed,3.1723746731950907e-12,0.5335644278585473,1.1056601965492637e-10,0.46643557202771435
round_2,phase3,1,1,D1_4,2.8,1.5,1,Tense/Stressed,3.1723746731950907e-12,0.5335644278585473,1.1056601965492637e-10,0.46643557202771435
round_2,phase2,1,1,D1_4,3.6,2.1666666666666665,3,Alert/Anxious,3.345191072033241e-52,7.507700000407018e-07,1.831134133682944e-43,0.9999992492299998
round_2,phase1,1,1,D1_4,3.2,1.6666666666666667,3,Alert/Anxious,2.32960550255235e-19,0.09489582058649293,1.5233881266294483e-17,0.9051041794135071
round_4,phase3,1,1,D1_4,1.0,0.8333333333333334,2,Drained/Disengaged,0.04595256347134502,0.01743233195500324,0.9288195768509001,0.007795527722751715
round_4,phase2,1,1,D1_4,3.0,1.0,0,Engaged/Calm,0.668703774529221,0.24961075810552674,0.00036219743028950734,0.08132326993496264
round_4,phase1,1,1,D1_4,1.8,1.0,2,Drained/Disengaged,0.10505111066891291,0.17182738357075383,0.6956355506857618,0.0274859550745716
round_1,phase3,1,1,D1_4,3.4,1.6666666666666667,3,Alert/Anxious,2.518449125623361e-19,0.08275720738774976,1.3341479497131856e-18,0.9172427926122503
round_1,phase2,1,1,D1_4,2.2,2.0,3,Alert/Anxious,9.174076571032598e-40,0.0002171463000730034,3.6113658450283095e-28,0.9997828536999271
round_1,phase1,1,1,D1_4,2.2,1.5,1,Tense/Stressed,1.7870592834730189e-12,0.6226183383407768,9.435382722389744e-09,0.3773816522220532
round_3,phase3,2,0,D1_4,3.2,0.8333333333333334,0,Engaged/Calm,0.9473396312075726,0.021336084206055053,1.9635157592077247e-05,0.03130464942878035
round_3,phase2,2,0,D1_4,3.2,0.8333333333333334,0,Engaged/Calm,0.9473396312075726,0.021336084206055053,1.9635157592077247e-05,0.03130464942878035
round_3,phase1,2,0,D1_4,1.8,0.8333333333333334,2,Drained/Disengaged,0.2676831832685104,0.032977525033302056,0.6787517242836939,0.020587567414493604
round_2,phase3,2,0,D1_4,2.0,0.8333333333333334,0,Engaged/Calm,0.4871210552316852,0.04610053073737531,0.4349401454591136,0.03183826857182591
round_2,phase2,2,0,D1_4,2.6,1.0,0,Engaged/Calm,0.5645490860030513,0.3353388267376613,0.016311706342762942,0.08380038091652443
round_2,phase1,2,0,D1_4,3.4,0.8333333333333334,0,Engaged/Calm,0.9531552782879869,0.017317317145059456,1.600423686630302e-06,0.029525804143266967
round_4,phase3,2,0,D1_4,1.0,0.8333333333333334,2,Drained/Disengaged,0.04595256347134502,0.01743233195500324,0.9288195768509001,0.007795527722751715
round_4,phase2,2,0,D1_4,3.6,2.0,3,Alert/Anxious,1.7550456709231976e-39,8.374566111045225e-05,2.9889328615278757e-34,0.9999162543388898
round_4,phase1,2,0,D1_4,2.0,0.8333333333333334,0,Engaged/Calm,0.4871210552316852,0.04610053073737531,0.4349401454591136,0.03183826857182591
round_1,phase3,2,0,D1_4,3.0,0.8333333333333334,0,Engaged/Calm,0.9397874043850564,0.026421920803413372,0.00019491710282980524,0.03359575770870044
round_1,phase2,2,0,D1_4,3.4,0.8333333333333334,0,Engaged/Calm,0.9531552782879869,0.017317317145059456,1.600423686630302e-06,0.029525804143266967
round_1,phase1,2,0,D1_4,2.0,0.8333333333333334,0,Engaged/Calm,0.4871210552316852,0.04610053073737531,0.4349401454591136,0.03183826857182591
round_3,phase3,3,1,D1_4,3.6,1.1666666666666667,1,Tense/Stressed,0.012506700436233753,0.7526257081043506,2.5991288077833378e-08,0.23486756546812748
