UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,Round,Phase,Individual,Puzzler,Cohort
8.932533,1.6923587,5.676633,2.9998229,7.789631,4.0500317,0.55284303,10.06287,1.8152362,0.70726687,round_3,phase3,4,0,D1_4
8.571811,2.0939903,5.4871354,1.3224734,8.094672,4.4462657,0.4016356,9.784387,1.955662,0.81989413,round_3,phase2,4,0,D1_4
8.980444,2.3736289,5.6163507,1.7982647,8.0383835,4.8555655,0.56822246,9.688244,1.9722658,0.6149803,round_3,phase1,4,0,D1_4
8.955193,2.4943361,5.445329,2.0958571,8.055206,4.8405848,0.65024114,9.873272,2.0827677,0.835031,round_2,phase3,4,0,D1_4
8.801173,2.3502839,5.552237,1.4718789,8.139164,4.7078753,0.42841205,9.663857,1.8819112,0.7995789,round_2,phase2,4,0,D1_4
9.023365,2.2165136,5.731853,1.7881702,8.090425,4.7289376,0.516599,9.711458,1.8239969,0.4749515,round_2,phase1,4,0,D1_4
8.768491,2.579751,5.3614383,1.7042832,8.160836,4.7653575,0.48077992,9.7383175,2.0037837,1.1665511,round_4,phase3,4,0,D1_4
8.025778,1.632166,5.3507442,0.741174,8.535033,3.8735256,0.4280779,10.451629,1.8493876,0.5665342,round_4,phase2,4,0,D1_4
8.921507,2.2866178,5.650405,1.6193367,8.108329,4.699827,0.47644854,9.66918,1.8415557,0.66240156,round_4,phase1,4,0,D1_4
9.010795,2.2398806,5.586082,1.9355999,7.6687264,4.902145,0.4689475,9.493416,2.1439347,0.7094036,round_1,phase3,4,0,D1_4
8.900635,2.3349593,5.6392584,1.5392686,8.119284,4.7547884,0.43901458,9.626649,1.8350564,0.6622827,round_1,phase2,4,0,D1_4
8.971388,2.169916,5.779077,1.6993781,8.093545,4.7641096,0.6004471,9.711257,1.87718,0.33397943,round_1,phase1,4,0,D1_4
8.832872,2.1603189,5.5255713,1.6785651,7.698304,4.7662954,0.42648247,9.525406,2.1265433,0.7866419,round_3,phase3,5,0,D1_6
8.691329,2.2294798,5.467494,1.4378204,7.949956,4.6447096,0.38650984,9.629764,2.0165172,0.9127434,round_3,phase2,5,0,D1_6
