PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,Round,Phase,Individual,Puzzler,Cohort
-1.1610342066660224,1.3047106488991136,-0.0923174160111629,0.05590385627574279,-0.7186426775464905,-1.0848852444020574,-0.9356259370408032,0.7149187446741292,-2.5907573323720565,-0.46658491505477356,0.9616160397601812,0.3947322565569493,-1.8789727996584065,-1.251346992371722,1.7281086919887227,0.5325755212707669,1.8798927301646176,1.1042517444081619,round_3,phase3,1,1,D1_4
-1.578774577294457,-1.486540573943694,-0.6818272454244796,-0.6140297981102459,1.00754528092927,-0.4363236631222689,0.5123547556269077,1.5609610903786706,-0.6309202736185524,0.2284475404385561,0.544113664389917,0.04872831108194354,1.663379361915011,-1.2904311867455256,0.8974545560227329,1.315803645330192,-0.9878519556509432,1.6314018106077262,round_3,phase2,1,1,D1_4
-1.2041869329063315,-0.9507042468974284,0.9181159751771618,-0.1077551766279059,-0.5924283899665028,-0.7353959662099036,0.43269192154586217,-0.4693864488782097,-0.33116055299998987,-0.6618885165038423,2.5820562182397357,0.0708009517953259,-0.278905976891838,-1.9533211277535738,-0.32754495785192017,0.19842135836015912,-0.14107038460338484,2.0208185768405786,round_3,phase1,1,1,D1_4
-1.2759561251529454,0.3486386027555281,1.03915269890087,0.8289181511770763,3.4342132688406504,-1.538443434241184,0.6015282136300792,-0.6527513788054589,0.0020466297208305497,-0.7832554340316045,6.189558841901926,-0.08004284097617687,0.7289374323242759,-1.4655077576511284,-1.2904808360629991,0.4035555782670052,1.1508027437657569,0.8984818199994616,round_2,phase3,1,1,D1_4
-1.4462912181367815,-1.2493417968872387,0.9607175563206297,-1.3350256027439575,-1.1260150516634273,-0.2571766366981677,1.0343326986437662,-0.06213384854181045,-1.1005537799663119,-0.23640226112713975,4.257890972348554,-0.0718238878283743,-0.18557473493240362,-1.4628319258720202,-1.2275100019809475,1.8711564001091503,-0.2952150052728671,1.9749312991877224,round_2,phase2,1,1,D1_4
-1.2134592009394123,2.2681321465148496,1.578360222086364,1.4173646544326584,5.3840420128228,-0.08439104416127131,0.5536709688620337,0.8767387097992629,-1.8689020957911227,2.410635193456523,2.307643173804424,0.06275444425091067,2.5835551747432333,-1.266292905647111,2.5934893424606145,2.409130813185466,-2.7868398824863974,0.16391598530191295,round_2,phase1,1,1,D1_4
-1.195574522995379,-0.8325632902163066,-2.8016449845825693,-1.8007289937775155,0.2983181655976724,-1.7201296080455615,0.6137849700207466,0.060460925115403366,0.22641199441610677,-0.7011083815726549,0.17241967302378572,0.23269430101939,1.4288791157647442,-0.9608110002232443,0.7791526436961442,-0.3088551215759662,-0.15640039533662276,-0.7201890413980969,round_4,phase3,1,1,D1_4
-1.4773456573146155,-0.34105443386913753,-0.2373530278867862,-0.6797924665295391,0.5723032663242987,-2.338890020612647,-2.008730053975455,-0.26226560434853974,-0.0477034984278101,-0.5017626515733906,0.7157951073093614,0.061771352290158094,0.92896747598412,-1.2298874049579749,0.5755497314916487,0.06523924773139701,1.1449444511258724,5.124274923857856,round_4,phase2,1,1,D1_4
-1.2576647074731615,-1.168940989495865,-1.1160486574356818,-0.8704972616033076,-0.023232038790702028,-0.9166218784821274,0.7236595073876125,0.2071989214437289,-1.2188313092721252,-0.6987746417853883,-0.01269808000693652,0.0758260713390826,-0.44095199274142216,-0.8944443096462993,-0.7328064058810541,-0.5537431313639927,0.05794227175050444,0.6439683398536792,round_4,phase1,1,1,D1_4
-1.0577527768102424,-0.5561208825312994,2.33944318361044,0.034011318875406676,0.6316376524180578,-1.4913526364467289,0.6080904778423821,1.5290545891704235,-3.5294379527102078,-1.209802319799422,6.89654036207217,0.3741614760353001,-1.1192809613242558,-1.541052572532233,-0.656663678776546,1.449535817870884,0.14589760729386156,0.8972481886146236,round_1,phase3,1,1,D1_4
