PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,Round,Phase,Individual,Puzzler,Cohort
-1.052956192216724,1.69919282953226,-0.8860449727265876,-0.819051842640135,0.3483699713875224,0.5563483127757612,-1.8691965744506527,1.6869845964378927,1.0946532134613514,1.520756670623337,1.3119545859049937,1.3059799157511358,-1.7351955298770207,-1.1707813512127454,-1.0888471178797348,-0.9822578209622554,round_3,phase3,1,1,D1_4
-0.7726290802974413,-1.8538595803156133,-0.2539931850344467,-0.5073496259366329,0.29976417811292355,0.2379545104184335,0.7186239171596983,-0.759438204196788,-0.12309245785967703,1.4764124592482075,0.3229291793380105,-0.29940616812829285,0.9483144848873022,0.23420597189299786,0.019927553996066393,0.4959982712820785,round_3,phase2,1,1,D1_4
-0.9616071602660332,-1.194693048775002,1.4491942547079495,-1.0015085428885828,0.8797388218956499,0.3143992573990819,0.6327708169775604,-0.6788815807604421,-0.7344182484945112,0.10407193079751983,-0.5026968858341291,-0.3123305379284362,-0.24865238717162358,-0.35596400803499056,-0.031690423306541635,-3.522551568517746,round_3,phase1,1,1,D1_4
-0.6096054374518257,0.8082899262056616,0.19512306559799752,2.1249360850265036,1.6100333715232071,-0.2849013335504298,0.8331334854195527,-0.4983856129959236,-1.2656570863633299,0.21641497353819258,-1.4984066483773366,0.23139108849073417,0.5333706854130951,-1.423431557280268,-0.1286629448129358,-0.31231540083830267,round_2,phase3,1,1,D1_4
-0.5664636349828931,-1.032707410659114,-0.1484998400112948,-1.3801555811100488,-1.4851728782561475,-0.5096534721206759,0.41532772916665933,2.8084299081430553,-1.579146228328067,-0.07531417197499671,-0.8753703571683651,-0.5313377155186361,-0.22533510899864176,-0.4904273952376587,0.47562780767949253,1.0305530602006756,round_2,phase2,1,1,D1_4
-1.033267825283261,2.211583507844135,-1.0999226686700068,4.220195060355807,3.542812478059774,-0.7645383262472307,-1.0059068323249347,-0.15300560730930862,1.174789603528619,-1.053374332847465,2.2239051225230404,-0.31629558509595235,1.9941209930970345,4.682739010128652,-0.1374379252810095,-0.5271257471023595,round_2,phase1,1,1,D1_4
8.473288451217643,-1.1480170912983279,-2.0695307127490055,-0.4487096384354223,-3.7939604273849428,2.32737721107379,1.120131525429896,-1.357930033812084,0.25150285832134467,1.660031477002331,0.2972974460843203,-1.065020844218638,0.8970866683130442,0.01046369103822221,2.0131270820999094,0.5326537004547363,round_4,phase3,1,1,D1_4
-0.35846282749868597,0.02415224272061171,2.6507065972435986,-0.8049357266864069,-0.3321754147981382,0.7873999293988542,1.1138900341514495,-0.7046305198258705,-1.467861036654403,0.7686147264368599,0.09773479793817146,2.614750948592501,0.45342109207830134,-0.914513397739249,0.04977011294455507,1.468169588427867,round_4,phase2,1,1,D1_4
-1.0269992216892454,-1.328363922402023,-0.28833777198441035,-0.493204306370939,-1.9357661987362262,1.2014140695453024,-0.3612080088387711,-0.8592167125100076,0.5318712987107347,0.5705655933218109,-0.9176165623349193,-1.0288878847166008,-0.36700105641360353,-0.5981519898239102,-0.19760627989112367,0.3775048078820303,round_4,phase1,1,1,D1_4
-1.0351436237995735,-0.2897641164160075,-1.0335452531333988,0.42914488891066493,-0.23279877689976816,-0.9915631084040197,-3.0058430883026857,0.24162281939665184,1.7261694693821854,-1.5901441708621467,-0.9165844666612009,-0.7589713260687446,-1.0052729261988822,-0.9717045224932748,-0.6017250079136717,0.16058285382401113,round_1,phase3,1,1,D1_4
-0.3882371462983742,-0.5684448854690364,-0.6359946496587372,-0.23334319058185232,-0.5387672697682675,-1.1905305470932586,0.2298783519383213,0.5145762239600303,-0.9346250831087338,-1.1471698017974559,0.9303599660796333,-0.7619692269351019,-1.286729012652894,0.7712136266144656,-0.002887481720086776,1.1857602122875002,round_1,phase2,1,1,D1_4
-0.6679163014335857,2.6726315490324537,2.1208451364183376,-1.0860175796429585,1.6379221448644516,-1.6837065031955993,1.1783986436739093,-0.24012527652720422,1.3258136974044992,-2.45086535348623,-0.47350617749221774,0.9220973357760325,0.04187209752388978,0.22635192214775532,-0.3695953759149198,0.09302804306175534,round_1,phase1,1,1,D1_4
