Round,Phase,Individual,Puzzler,Cohort,q_cluster
round_1,phase2,14,0,D1_1,3
round_1,phase1,14,0,D1_1,2
round_3,phase3,15,1,D1_2,2
round_3,phase2,15,1,D1_2,3
round_3,phase1,15,1,D1_2,2
round_2,phase3,15,1,D1_2,2
round_2,phase2,15,1,D1_2,3
round_2,phase1,15,1,D1_2,1
round_4,phase3,15,1,D1_2,5
round_4,phase2,15,1,D1_2,5
round_4,phase1,15,1,D1_2,1
round_1,phase3,15,1,D1_2,4
round_1,phase2,15,1,D1_2,3
round_1,phase1,15,1,D1_2,1
round_3,phase3,16,0,D1_2,4
round_3,phase2,16,0,D1_2,4
round_3,phase1,16,0,D1_2,4
round_2,phase3,16,0,D1_2,4
round_2,phase2,16,0,D1_2,3
round_2,phase1,16,0,D1_2,4
round_4,phase3,16,0,D1_2,4
round_4,phase2,16,0,D1_2,3
round_4,phase1,16,0,D1_2,4
round_1,phase3,16,0,D1_2,4
round_1,phase2,16,0,D1_2,4
round_1,phase1,16,0,D1_2,4
round_3,phase3,17,0,D1_2,4
round_3,phase2,17,0,D1_2,0
round_3,phase1,17,0,D1_2,4
round_2,phase3,17,0,D1_2,4
round_2,phase2,17,0,D1_2,5
round_2,phase1,17,0,D1_2,4
round_4,phase3,17,0,D1_2,3
round_4,phase2,17,0,D1_2,0
round_4,phase1,17,0,D1_2,4
round_1,phase3,17,0,D1_2,3
round_1,phase2,17,0,D1_2,5
round_1,phase1,17,0,D1_2,4
round_3,phase3,18,1,D1_2,2
round_3,phase2,18,1,D1_2,3
round_3,phase1,18,1,D1_2,2
round_2,phase3,18,1,D1_2,2
round_2,phase2,18,1,D1_2,3
round_2,phase1,18,1,D1_2,2
round_4,phase3,18,1,D1_2,4
round_4,phase2,18,1,D1_2,5
round_4,phase1,18,1,D1_2,3
round_1,phase3,18,1,D1_2,4
round_1,phase2,18,1,D1_2,3
round_1,phase1,18,1,D1_2,2
round_3,phase3,19,1,D1_2,4
round_3,phase2,19,1,D1_2,4
