Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5
round_4,phase3,5,0,D1_6,2,3.7212104e-37,3.3583248e-35,1.0,1.1780462e-21,0.0,0.0
round_4,phase2,5,0,D1_6,0,1.0,0.0,0.0,0.0,3.9764056e-12,0.0
round_4,phase1,5,0,D1_6,1,1.3093384e-07,1.0,0.0,0.0,9.082116e-21,0.0
round_1,phase3,5,0,D1_6,4,6.159974e-05,4.5997395e-25,0.0,0.0,0.999938,0.0
round_1,phase2,5,0,D1_6,3,5.6571054e-07,0.0,1.1831289e-09,0.99999905,1.5111321e-26,3.0970182e-15
round_1,phase1,5,0,D1_6,3,1.0848349e-09,0.0,0.0,1.0,8.019215e-30,0.0
round_3,phase3,6,1,D1_6,2,3.7753804e-33,1.6398291e-35,1.0,3.118046e-16,0.0,0.0
round_3,phase2,6,1,D1_6,4,8.769423e-10,1.1318967e-28,0.0,0.0,1.0,1.3909431e-24
round_3,phase1,6,1,D1_6,1,3.0797454e-16,1.0,4.13e-43,0.0,7.716e-42,0.0
round_2,phase3,6,1,D1_6,4,0.41601372,8.753089e-23,3.7427188e-31,3.163038e-34,0.5839864,0.0
round_2,phase2,6,1,D1_6,0,1.0,7.6102e-41,0.0,0.0,3.4398425e-08,0.0
round_2,phase1,6,1,D1_6,3,6.0878245e-09,0.0,1.5153028e-22,1.0,1.86857e-34,0.0
round_4,phase3,6,1,D1_6,3,1.4433929e-08,1.7734442e-19,1.939439e-16,1.0,2.03e-43,5.785943e-39
round_4,phase2,6,1,D1_6,3,0.000116191346,1.6458575e-28,1.5015406e-20,0.99988365,3.707825e-27,2.3609095e-30
round_4,phase1,6,1,D1_6,0,0.83383614,1.0981195e-19,0.0,0.16616388,1.8424782e-36,0.0
round_1,phase3,6,1,D1_6,3,4.7120595e-15,1.210281e-31,2.4107618e-17,0.9999988,4.032746e-37,1.1286153e-06
round_1,phase2,6,1,D1_6,2,1.1303753e-25,2e-44,1.0,7.808006e-14,0.0,2.34233e-31
round_1,phase1,6,1,D1_6,4,5.1991297e-05,0.0,0.0,2.74227e-36,0.999948,6.4318395e-09
