Unnamed: 0,HR_TD_Mean,HR_TD_std,HR_TD_Min,HR_TD_Max,HR_TD_AUC,HR_TD_Kurtosis,HR_TD_Skew,HR_TD_Slope_min,HR_TD_Slope_max,HR_TD_Slope_mean,TEMP_TD_Mean,TEMP_TD_std,TEMP_TD_AUC,TEMP_TD_Kurtosis,TEMP_TD_Skew,TEMP_TD_Slope_min,TEMP_TD_Slope_max,TEMP_TD_Slope_mean,EDA_TD_P_Mean,EDA_TD_P_std,EDA_TD_P_Min,EDA_TD_P_Kurtosis,EDA_TD_P_Skew,EDA_TD_P_Slope_min,EDA_TD_P_Slope_max,EDA_TD_P_Slope_mean,EDA_TD_P_Slope,EDA_TD_T_Mean,EDA_TD_T_std,EDA_TD_T_Min,EDA_TD_T_Kurtosis,EDA_TD_T_Skew,EDA_TD_T_Slope_min,EDA_TD_T_Slope_max,EDA_TD_T_Slope_mean,EDA_TD_P_Peaks,EDA_TD_P_RT,EDA_TD_P_ReT,Round,Phase,Individual,Puzzler,original_ID,raw_data_path,Team_ID,Frustrated,Cohort,upset,hostile,alert,ashamed,inspired,nervous,attentive,afraid,active,determined
0,78.6638775510204,7.480042702966167,67.25,92.48,23048.449999999997,-1.0914478709535689,0.3699553522824901,-0.7300000000000004,0.9775000000000028,0.044590395480226,31.090000000000003,0.1638948209049214,36593.14,1.3495698380567989,-1.352915452378718,-0.0022857142857143,0.000377358490566,-0.000588679245283,0.0001720820860489,0.0009266362134205,-0.0061846063309729,28.467715654035754,1.0916956120265582,-0.0002001278093096,0.0001980528408,-4.2950095087935095e-06,4.360220392958131e-06,0.1812860732619985,0.0037437677981892,0.1694404667307791,1.3459970313005023,-1.379434197548966,-0.0001437773759672,0.0001376529135502,1.0198300293236654e-05,11,2.522727272727273,2.075,round_3,phase3,1,1,19.0,dataset/D1_4/ID_1/round_3/phase3,D1_4_Team10,2.0,D1_4,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0
1,76.54073248407643,2.5847564518590596,69.82,82.33,23959.92,-0.2453381303984101,0.3387322381081591,-0.3600000000000041,0.1900000000000012,-0.0280952380952382,30.93729299363057,0.0837659239940968,38826.240000000005,0.1778715735074754,0.8988943459994073,-0.0010619469026548,0.0007142857142857,0.0002323008849557,0.0004891589334837,0.0011382684765193,0.0,18.455509103083877,3.948750668931574,-0.0002729658280171,0.0004514636754505,1.1002012567820814e-06,-2.6175845491979456e-06,0.1699092311939044,0.0029762353786873,0.1645042356971148,0.8870104309215443,0.8540668773747919,-0.0001463186192687,0.0001649445823343,8.914870448878803e-06,15,2.2142857142857144,2.1923076923076925,round_3,phase2,1,1,19.0,dataset/D1_4/ID_1/round_3/phase2,D1_4_Team10,3.0,D1_4,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0
2,78.17356321839081,2.681255149686212,72.22,82.8,20324.605,-0.6159223292474465,-0.2330469137323161,-0.629999999999999,0.3575000000000017,-0.0242019230769231,30.73534101825168,0.0780378602550898,31964.72,-0.956503247661748,-0.1430413962493252,-0.0009615384615384,0.0007766990291262,-8.484773047879277e-05,0.000154775930846,0.0004435372401498,0.0,36.76844232467813,5.151764078407224,-4.450874853041592e-05,5.356838638861506e-05,-1.3555498079414842e-06,-1.08481535640123e-06,0.1667980098520549,0.0022663111135131,0.1620360552888392,0.2058167032067617,0.4805806016311066,-0.0001122586525225,0.0001317309482394,1.5470209216339749e-06,10,1.9722222222222223,2.111111111111111,round_3,phase1,1,1,19.0,dataset/D1_4/ID_1/round_3/phase1,D1_4_Team10,2.0,D1_4,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0
3,83.0736877076412,7.36359808034191,69.42,96.12,24924.300000000003,-0.8666102140944028,-0.0460205321559923,-0.4649999999999998,0.6500000000000021,0.0213750000000003,30.50502487562189,0.36608929057717,36758.35,-1.513909593894107,0.5039214451697388,-0.0005555555555555,0.0029629629629629,0.0006666666666666,0.0006730348747333,0.0018293859803654,0.0,19.04523541653415,4.165663555416956,-0.0002708138974233,0.0003087902108142,2.104136443420329e-06,-5.062887618248505e-08,0.1592924501998934,0.0047888290646329,0.1483684991600186,2.488338865370407,1.246665275236338,-0.000454683393177,0.0004810160214393,-1.0426869264971308e-06,12,1.8863636363636365,1.8055555555555556,round_2,phase3,1,1,19.0,dataset/D1_4/ID_1/round_2/phase3,D1_4_Team10,2.0,D1_4,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0
4,72.28125,3.19376169948596,64.95,79.98,23052.1,0.2004005905348105,-0.5609480447004516,-0.3724999999999987,0.3374999999999986,-0.0135546875000001,30.332578125,0.1101193189933489,38795.380000000005,-1.4562550653229345,-0.1719291500423265,-0.0009615384615384,0.0001923076923076,-0.0003141858141858,0.0011640512470324,0.0029361088322685,-0.0019922329517932,20.99811064026324,4.209073599891137,-0.0006457871865378,0.000638985368841,5.191330461804033e-06,1.3443671362168224e-05,0.1503872495342171,0.0064733136610969,0.1430033737121152,1.19650843335594,1.5920987075270134,-0.0004195901374036,0.0003341742523084,1.3641979519756318e-05,20,1.8125,1.9264705882352944,round_2,phase2,1,1,19.0,dataset/D1_4/ID_1/round_2/phase2,D1_4_Team10,2.0,D1_4,3.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0
5,85.3772607260726,12.030816285056346,73.75,132.63,25763.44,4.002252096151411,2.0699310407033904,-1.5474999999999994,0.3066666666666672,-0.1647404371584698,29.89203305785124,0.2906519847565407,36139.119999999995,2.538991681563103,1.8049218262963032,-0.002037037037037,0.0049999999999999,0.0009351851851851,8.531925521465052e-05,0.0002556241794184,-0.0008499885258671,13.106717817439918,2.9353007706509873,-7.117938420198944e-05,9.128583081969632e-05,6.184922291015302e-07,5.169232132857671e-07,0.1376676154555291,0.0015442142848578,0.1351884437803592,1.5923090293571631,1.0955961398906926,-5.815874467473189e-05,6.236960588817027e-05,4.404718383394754e-06,13,2.8125,2.15,round_2,phase1,1,1,19.0,dataset/D1_4/ID_1/round_2/phase1,D1_4_Team10,2.0,D1_4,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0
6,65.36766233766232,2.504111223401079,60.73,72.2,20064.305,-0.8929138405511012,0.0865668919899883,-0.5625,0.2650000000000005,-0.0211559139784947,31.42949716139497,0.0938225400744763,38721.06,0.3141491525315789,1.017105375238432,-0.0007272727272727,0.0007272727272727,0.000272072072072,0.0250286753565205,0.0426436207449503,-0.0034282625275034,6.215212045227927,2.38827354132143,-0.004728689213414,0.0066305680523494,-6.805719754118342e-05,-2.148226975736273e-06,0.5273158599232838,0.2960465238334654,0.1883866754297969,-1.596229102700858,0.0856058717554096,-0.0050703303714451,0.0076372201382268,0.0003099553982921,20,2.1875,2.088235294117647,round_4,phase3,1,1,19.0,dataset/D1_4/ID_1/round_4/phase3,D1_4_Team10,0.0,D1_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,76.5427619047619,5.519410593804626,66.88,85.7,24034.395,-1.163382463768065,0.0438457267337109,-0.677500000000002,0.4649999999999998,0.0485317460317461,31.065492063492066,0.058566370845317,39111.41,-0.1337706036847459,0.4548693237246827,-0.0007079646017699,0.0008849557522124,0.0001061946902654,0.0012079967221453,0.0032052379586308,0.0,51.18807971798887,6.416646244725824,-0.000481804251428,0.0003075534327948,8.91293747288065e-07,-1.998858504180791e-06,0.1876170667699175,0.0028143425955535,0.1761096871364398,5.728806196351071,-0.120221169756888,-0.000418349093587,0.0005742931715184,-3.397345950657869e-06,15,1.9285714285714288,1.9107142857142856,round_4,phase2,1,1,19.0,dataset/D1_4/ID_1/round_4/phase2,D1_4_Team10,0.0,D1_4,1.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0
8,70.69578431372548,3.5740205865840933,64.38,77.85,21558.85,-0.8576705092793313,-0.0576172190454397,-0.2925000000000004,0.2300000000000004,-0.0056311475409837,31.057534807534807,0.1161439178265406,37890.37,-1.5592307203046218,-0.2478192212644349,-0.001834862385321,0.0011009174311926,-5.004170141784418e-07,0.0001646643420467,0.0003918256126929,-5.006150238417409e-05,19.812649184653647,3.89013453620774,-6.978362650465212e-05,7.056725771938444e-05,8.693596127619806e-07,-2.190100632845009e-06,0.1899533692369864,0.0029837663490311,0.1860635362339971,-0.9321002676462378,0.6097168440178692,-0.0001102240135734,8.066355512607408e-05,-5.008568687302147e-06,13,2.4615384615384617,2.0208333333333335,round_4,phase1,1,1,19.0,dataset/D1_4/ID_1/round_4/phase1,D1_4_Team10,1.0,D1_4,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
9,77.87957654723127,5.713567800389197,65.73,85.98,23835.07,-0.5745972521061771,-0.6188537578839735,-0.427500000000002,0.3375000000000021,-0.0212295081967212,29.900497147514265,0.3536405820727553,36658.130000000005,-0.877656785509048,-0.7964828961376669,-0.0029357798165137,0.0014678899082568,-0.0005753961634695,6.789401202551621e-05,0.0003635230783295,-0.0023624722856591,22.848905450777902,1.0540666950762003,-0.0001185120681689,0.0001315361407143,-2.9295198602104124e-07,1.5319309449491327e-06,0.1288245542357332,0.0013200703071578,0.1259256381622845,0.0098825230088914,0.4878251989352596,-0.0001504632604187,0.0001107159573033,-5.771558844130855e-07,10,2.5833333333333335,2.75,round_1,phase3,1,1,19.0,dataset/D1_4/ID_1/round_1/phase3,D1_4_Team10,2.0,D1_4,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0
