Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,pa_score,na_score,emotional_cluster_id,emotional_label
round_3,phase3,1,1,D1_4,2,0.0128270841697812,4.14130058436143e-06,0.9871687745296333,2.2,1.3333333333333333,1,Alert/Anxious
round_3,phase2,1,1,D1_4,1,0.0724978507130005,0.9219191512552852,0.0055829980317133,2.8,1.8333333333333333,3,Tense/Stressed
round_3,phase1,1,1,D1_4,0,0.9973429084411412,0.0001151315425438,0.0025419600163156,2.8,1.5,1,Alert/Anxious
round_2,phase3,1,1,D1_4,0,0.9827846066562972,0.0030081350870098,0.0142072582566926,2.8,1.5,1,Alert/Anxious
round_2,phase2,1,1,D1_4,2,1.2594336341336449e-05,0.1507774475318422,0.8492099581318172,3.6,2.1666666666666665,3,Tense/Stressed
round_2,phase1,1,1,D1_4,0,0.9999999065872744,1.2852370661478441e-14,9.341271041567569e-08,3.2,1.6666666666666667,3,Tense/Stressed
round_4,phase3,1,1,D1_4,2,1.716338549477513e-14,3.7225221838841686e-11,0.9999999999627605,1.0,0.8333333333333334,2,Drained/Disengaged
round_4,phase2,1,1,D1_4,2,0.320212626295077,2.9368373110009075e-06,0.6797844368676116,3.0,1.0,0,Engaged/Calm
round_4,phase1,1,1,D1_4,1,0.0077244331820798,0.989102430921112,0.0031731358968073,1.8,1.0,0,Engaged/Calm
round_1,phase3,1,1,D1_4,1,0.4031807210817837,0.5609144763793584,0.0359048025388593,3.4,1.6666666666666667,3,Tense/Stressed
round_1,phase2,1,1,D1_4,0,0.473988216545224,0.4401322404186633,0.0858795430361116,2.2,2.0,3,Tense/Stressed
round_1,phase1,1,1,D1_4,0,0.9856947747249512,1.7469316155711058e-07,0.0143050505818862,2.2,1.5,2,Drained/Disengaged
round_3,phase3,2,0,D1_4,2,7.722812411092607e-09,1.7435927052881475e-06,0.9999982486844832,3.2,0.8333333333333334,0,Engaged/Calm
round_3,phase2,2,0,D1_4,2,0.003267588260423,1.3092974657093194e-07,0.99673228080983,3.2,0.8333333333333334,0,Engaged/Calm
round_3,phase1,2,0,D1_4,0,0.9983508357842886,0.0013457876380938,0.000303376577617,1.8,0.8333333333333334,0,Engaged/Calm
round_2,phase3,2,0,D1_4,1,7.91632570904308e-05,0.997891337540314,0.0020294992025966,2.0,0.8333333333333334,0,Engaged/Calm
round_2,phase2,2,0,D1_4,2,1.0331033070186415e-09,8.159217834982419e-16,0.9999999989668956,2.6,1.0,0,Engaged/Calm
round_2,phase1,2,0,D1_4,2,0.0430381559977509,5.436786936970768e-13,0.9569618440017073,3.4,0.8333333333333334,0,Engaged/Calm
