Round,Phase,Individual,Puzzler,Cohort,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
round_1,phase2,17,0,D1_2,2,2.919429771037252e-11,1.4789918516003984e-17,0.9999999999708038
round_1,phase1,17,0,D1_2,1,0.3878489238999294,0.5837298168456162,0.028421259254455863
round_3,phase3,18,1,D1_2,0,0.5706990547699357,0.4269018323475617,0.002399112882502963
round_3,phase2,18,1,D1_2,1,0.19876950674169597,0.7748340401401499,0.026396453118155472
round_3,phase1,18,1,D1_2,0,0.9999974405071795,4.0220230422306786e-07,2.157290517152446e-06
round_2,phase3,18,1,D1_2,1,6.933344562925459e-05,0.9998829252079202,4.774134644995117e-05
round_2,phase2,18,1,D1_2,0,0.808427621637701,0.13407374003785325,0.057498638324446724
round_2,phase1,18,1,D1_2,1,0.00061732689308188,0.9915591166366793,0.007823556470238214
round_4,phase3,18,1,D1_2,0,0.9965253204966841,6.34267170854331e-12,0.003474679496973068
round_4,phase2,18,1,D1_2,0,0.9547740680345644,6.617718258259476e-07,0.045225270193610036
round_4,phase1,18,1,D1_2,2,4.2094216950646685e-08,5.7172237495061995e-15,0.9999999579057794
round_1,phase3,18,1,D1_2,2,0.00022224293804161448,0.013252811815718763,0.9865249452462405
round_1,phase2,18,1,D1_2,2,2.316614121242321e-11,4.853098193985609e-19,0.9999999999768328
round_1,phase1,18,1,D1_2,2,2.1344942099660224e-05,0.05908769183549855,0.9408909632224014
round_3,phase3,19,1,D1_2,0,0.7831594928163964,1.7635839172600894e-05,0.21682287134443104
round_3,phase2,19,1,D1_2,2,0.0008022731061927233,0.0004198375056810522,0.9987778893881278
round_3,phase1,19,1,D1_2,1,0.15209709428329288,0.842964026527896,0.00493887918881067
round_2,phase3,19,1,D1_2,1,0.33061947499485395,0.40921133581930585,0.2601691891858413
round_2,phase2,19,1,D1_2,0,0.9878620218449661,2.0054614666382742e-07,0.012137777608888015
round_2,phase1,19,1,D1_2,0,0.9169829663855843,0.0003699731289993628,0.08264706048541781
round_4,phase3,19,1,D1_2,2,4.3703787583081697e-05,0.0007367334491072956,0.9992195627633088
round_4,phase2,19,1,D1_2,0,0.9615294762612004,3.061110890690391e-11,0.03847052370818722
round_4,phase1,19,1,D1_2,1,0.36768214171991465,0.461290206426443,0.17102765185364066
