k,silhouette,bic,aic,selected
2,0.23311761021614075,-21186.392084358733,-22328.008056640625,False
3,0.24262958765029907,-22157.287120549663,-23871.582580566406,False
4,0.24058018624782562,-23056.11404150622,-25343.088989257812,False
5,0.2681124210357666,-23522.356123595586,-26382.01055908203,False
6,0.25435346364974976,-23928.612854122453,-27360.94677734375,True
7,0.28239214420318604,-23835.146379082915,-27840.159790039062,False
8,0.25690147280693054,-23837.17563158244,-28414.868530273438,False
