epoch,loss
1,0.6244292351198785
2,0.1590217019856712
3,0.11266045253953816
4,0.09290411488877402
5,0.080732411854429
6,0.06788147829565001
7,0.05700022805436158
8,0.05288472633670877
9,0.05195227384935191
10,0.04889931148033083
11,0.0475665488636788
12,0.04888296467654499
13,0.04881610178653105
14,0.04610247247748905
15,0.045215654014437286
16,0.045559433530326245
17,0.0475242279102037
18,0.04522595563788473
19,0.04544775390330656
20,0.04550732465253936
21,0.04405139708592568
22,0.043317117670803894
23,0.042300417421408644
24,0.04263127190463337
25,0.04308709380343372
26,0.041819884775229445
27,0.04085831907520324
28,0.04030333555958889
29,0.042212030585901235
30,0.041885921708595605
