epoch,loss
1,0.5615615193490628
2,0.07557680993628355
3,0.022059336189686515
4,0.01558660719267748
5,0.013237564031172681
6,0.012041767035829432
7,0.010829744780045232
8,0.011172159620917138
9,0.009020910299394601
10,0.009621694281605291
11,0.008129806602718654
12,0.0070394265384953695
13,0.006521832749799446
14,0.006432475148481719
15,0.005818835120464181
16,0.005829751965831275
17,0.005843677977674905
18,0.0059625265177017375
19,0.005704681762712605
20,0.0054431480390054205
21,0.005031729427476724
22,0.004752121888744978
23,0.00450471490851523
24,0.00504319535361396
25,0.009734916178808535
26,0.011288506289323172
27,0.005926393558857618
28,0.004528457730042713
29,0.003953911070884378
30,0.003691879310932608
