k,silhouette,bic,aic,selected
2,0.2637116014957428,-33052.3617980476,-37248.26837158203,False
3,0.28117239475250244,-33553.80159708882,-39849.532958984375,True
4,0.2632206678390503,-33338.40930384489,-41733.96545410156,False
5,0.2641531527042389,-32164.003582866586,-42659.384521484375,False
6,0.2515978515148163,-31310.424277903905,-43905.63000488281,False
7,0.24841870367527008,-30388.89966044122,-45083.93017578125,False
8,0.26257437467575073,-29207.567059580102,-46002.42236328125,False
