epoch,loss
1,0.5979773269759284
2,0.21833978722124925
3,0.07202446396336143
4,0.04534930630046644
5,0.04204634282691979
6,0.041074133581585355
7,0.040436037344697084
8,0.039898141022817586
9,0.03961506476740778
10,0.03994058357712663
11,0.039881779455844264
12,0.03902862055434121
13,0.03864787836317663
14,0.038909121657963154
15,0.038668831097490995
16,0.03868796078511226
17,0.03839936834058644
18,0.03832385242905146
19,0.03839483100598977
20,0.03837039257273262
21,0.038087276028998106
22,0.03808474434930601
23,0.03822555857492082
24,0.03853319001234608
25,0.03820725171654313
26,0.03771660941434495
27,0.037975114206840965
28,0.037881929749324
29,0.0378593939046065
30,0.037979137198424634
