epoch,loss
1,0.5304454529175052
2,0.059632505807611674
3,0.019895255473660833
4,0.015041484612465642
5,0.013342965244786975
6,0.013568582634131113
7,0.011567650155888664
8,0.010140036911140253
9,0.008942656822640586
10,0.008750636918171321
11,0.007170575860611818
12,0.007033346266842183
13,0.006951665741471965
14,0.007244319413547163
15,0.0069110660043395595
16,0.006357470360573059
17,0.005946824936495151
18,0.005709332431218139
19,0.00519262034629966
20,0.005288567577983126
21,0.006413781486543609
22,0.008100749775307415
23,0.009051660587436255
24,0.004727298577810511
25,0.004195295518586113
26,0.004008939067177751
27,0.004038947068131816
28,0.0037448538932949305
29,0.0038419536452878405
30,0.0035887357267194693
