k,silhouette,bic,aic,selected
2,0.2979271113872528,-20497.405573128264,-21639.021545410156,False
3,0.28899016976356506,-21819.724315373882,-23534.019775390625,False
4,0.2813835144042969,-22913.867825685906,-25200.8427734375,False
5,0.27057138085365295,-23083.66563287293,-25943.320068359375,False
6,0.2714099586009979,-23392.82940685683,-26825.163330078125,True
7,0.2598213255405426,-23025.427445977446,-27030.440856933594,False
8,0.25127241015434265,-22946.93588548869,-27524.628784179688,False
