epoch,loss
1,0.6046511289882072
2,0.19870713077209615
3,0.08522235385981607
4,0.039266102084958995
5,0.02308135730340893
6,0.02019626934679202
7,0.01929537513879714
8,0.01874777909230303
9,0.018453247500238596
10,0.018302552252547975
11,0.018254692999669062
12,0.018129898833087934
13,0.01744041394120381
14,0.017406662397178602
15,0.017684194098376196
16,0.016868070262357777
17,0.017196887966107438
18,0.017142519722750157
19,0.016842483531361745
20,0.016632977792602262
21,0.016569200604234214
22,0.016798031895800872
23,0.016415525331265397
24,0.016745024395209772
25,0.016852905525377503
26,0.017252474862300318
27,0.01635514207782201
28,0.01728182246931541
29,0.016909433022877316
30,0.01643174833813567
