epoch,loss
1,0.5015151026072325
2,0.14014230024667435
3,0.0910217132833269
4,0.028110696876674522
5,0.013806730439817463
6,0.01068877908228724
7,0.009454231806973249
8,0.008607248792907706
9,0.0076147650632961295
10,0.007241751561746185
11,0.0073706708607022406
12,0.006961840452097448
13,0.0053207058011105765
14,0.005066427982837698
15,0.004934001981315238
16,0.004652577164916344
17,0.005098654422909021
18,0.005839572656025857
19,0.004670167088876536
20,0.004351211605409597
21,0.004281779912150937
22,0.005312841661550381
23,0.005900628077165212
24,0.004466454357621662
25,0.003934681973201625
26,0.0037745915721228095
27,0.003793612001808705
28,0.0037541942682439164
29,0.0035060818312850632
30,0.003977239226784419
