k,silhouette,bic,aic,selected
2,0.243983194231987,-8504.162897347014,-9645.778869628906,False
3,0.25211724638938904,-8665.853160588726,-10380.148620605469,True
4,0.21354332566261292,-8303.839169680046,-10590.81411743164,False
5,0.24189738929271698,-8252.30412164246,-11111.958557128906,False
6,0.19945581257343292,-7974.827819942767,-11407.161743164062,False
7,0.25434404611587524,-7775.388413995026,-11780.401824951172,False
8,0.23617121577262878,-7366.658450185956,-11944.351348876953,False
