k,silhouette,bic,aic,selected
2,0.0721525326371193,-4153.801447151702,-5295.417419433594,True
3,0.005426987539976835,-3486.282893865093,-5200.578353881836,False
4,-0.00012079416046617553,-3558.137356935906,-5845.1123046875,False
5,-0.04595392942428589,-3084.9653917840633,-5944.619827270508,False
6,-0.10396991670131683,-2390.1189881556575,-5822.452911376953,False
7,-0.05021654814481735,-2061.301057427643,-6066.314468383789,False
8,-0.07029439508914948,-1374.4116392728702,-5952.104537963867,False
