PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,Round,Phase,Individual,Puzzler,Cohort,Frustrated,upset,hostile,alert,ashamed,inspired,nervous,attentive,afraid,active,determined
-0.061949619234458214,0.8600581752432103,-0.075522464477192,-2.331358803212906,-0.9973221126195477,0.22935431614238547,-2.1262233331010503,-2.2938865386950864,-0.11928758056425202,1.0490417881157745,1.0582306741372711,2.2123987044632933,-0.5385187104460754,2.3664825331156427,0.7909361753524943,0.3380402193275573,round_3,phase3,1,1,D1_4,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0
-0.6649375157225598,-0.5602961264148748,1.1171030205224484,-0.1239319623874189,-0.17298998962571963,1.177229064444649,0.9868394601644651,1.139117214936808,0.9478553831825594,-1.6024006304940466,-0.2346731935962839,-0.298247879049627,0.6594453452160568,0.1360872715562575,0.056981956048057406,0.5658186004073416,round_3,phase2,1,1,D1_4,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0
-1.9968938178497784,-1.4296616385425749,0.00430738624802861,-0.9831527312456033,0.25908060409988637,1.319981760506157,0.30715460728721655,0.1018934458689704,1.1390221685977686,0.6386103344378559,-1.974039440672814,0.8774982737659173,0.589298566021253,-0.34343583760669777,1.0265808710581221,-1.6758474436001645,round_3,phase1,1,1,D1_4,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0
-0.3919754592541482,1.3279444295080125,-0.14018852511986085,2.254069063512085,-1.6356344565839462,-0.3939064761809974,1.486347987124544,-0.2443789788661569,0.26132399308476384,-0.17376971427904206,-1.198231006434757,0.9814069823157113,1.094839256337592,-0.09147116827616769,-0.01708936922306848,-0.5260892527710815,round_2,phase3,1,1,D1_4,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0
0.18643549452066643,-0.35789932629105486,3.0069843453403515,-0.31334107321260973,-0.52180267236185,0.060545795203991004,-0.4249768567812539,-1.596502558587604,-1.2882434250857802,-1.27131671981053,-0.9405144960583487,-0.49033156551180895,-0.7479439525070599,-1.1550950816635177,-0.563650439338157,0.44071136570936226,round_2,phase2,1,1,D1_4,2.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0
-1.1816875589561195,4.26996837531252,-3.708439227815153,3.3429671837857624,1.5448952038366612,-1.1599410030508956,-2.915425271012017,2.1706025628165837,2.519630673903354,-2.308021002932436,0.39819818120255257,-0.5179098358435577,1.7641951406669152,0.6670452016309688,-0.45294962179857884,0.494707007576708,round_2,phase1,1,1,D1_4,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0
7.667447999299878,-4.262435792942822,0.3089808172520427,-0.6404825015857695,4.419456828065314,-1.4558879352300858,2.4299006678312454,0.07671010718636127,-0.9780157279490154,-0.6138412220957605,2.061259037417489,-0.5109410815101587,0.22580798755787676,0.8213922560019209,2.090808316521753,-0.5833813754049216,round_4,phase3,1,1,D1_4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-0.41793615289869707,-0.26251592341200247,-0.5628910389569729,-0.8994527139133663,-1.341637961032824,0.8771036582662615,3.026253344210645,-0.04625265862385222,-0.8383725376264124,-0.20242495108166514,-0.034655526206015426,1.1357709335374588,-0.06461936541285893,-1.2881555840893335,-0.5243275368851688,0.905129535846428,round_4,phase2,1,1,D1_4,0.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0
-1.0006417316074954,-1.869172739797983,1.5425835509031889,0.14101331125434768,0.7074695051138508,0.7542150472101382,0.7462624108434659,0.7208154462161583,-1.0636169306063041,0.5208471504207522,0.018662524194248083,-0.31809097045851775,-0.19153993358304017,0.7355490186637512,0.17930638086750528,0.8001537529714597,round_4,phase1,1,1,D1_4,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
-0.6547743946226938,-0.4187517029542291,0.3654552282335614,0.46968514729523647,-1.4896286224868216,-0.5318553504813133,-2.4384551542282065,0.4020764183005552,-1.1158910830279554,2.2169609104113626,-0.12411842375866441,-1.1018603537865952,-0.25098955726231614,1.5762829467123942,-0.9386442712596398,0.19719572807515529,round_1,phase3,1,1,D1_4,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0
-0.04798717091007077,0.5921784226862835,1.4090277217581644,-0.16492153013540875,-0.06193628327148252,-0.5194622925002516,-1.203941808386698,0.5752479230908222,-0.22074564344241157,-0.5099067490442903,1.0550234185500018,-0.7331862352947606,-1.008275060172387,-1.6224628864020765,-0.5596887531083394,-0.6013297953110043,round_1,phase2,1,1,D1_4,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0
-1.4351000727645293,2.1105838476055467,-3.267400813888616,-0.751093390154327,-0.7099500431335278,-0.35737658433003155,0.1262639460476277,-1.0054423836435575,0.756340709533711,2.25622080635205,-0.08514174877468161,-1.236506972627355,-1.531699716415955,-1.8022186696431528,-1.0882637082349853,-0.35510834282684073,round_1,phase1,1,1,D1_4,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0
