epoch,loss
1,0.4875632320289259
2,0.13559282571077347
3,0.0983640987104104
4,0.030479428714808122
5,0.016739608409504097
6,0.014021152101549101
7,0.012034571125965428
8,0.009886138014679339
9,0.008627600036561489
10,0.008318005940290514
11,0.007995279919770028
12,0.0075350170552638575
13,0.007427030829367814
14,0.007891948300379294
15,0.007481564175521518
16,0.006173572801973348
17,0.0057468209243207065
18,0.00609261439078384
19,0.005492853690628652
20,0.006041096845342789
21,0.005023523504029454
22,0.004705429709527964
23,0.004405126107833636
24,0.004430475319954164
25,0.0043828343012496645
26,0.004350657192530271
27,0.0043794634596755104
28,0.004253132079072573
29,0.005031994845787132
30,0.005963329823664677
