epoch,loss
1,0.625366113436075
2,0.15865147941642338
3,0.11928439563439217
4,0.10125222912541142
5,0.08311956118286391
6,0.07883560763281068
7,0.06694227424852642
8,0.06208273023366928
9,0.06273209395599955
10,0.058475405989605704
11,0.05707616800511325
12,0.05561933174361417
13,0.05499011526505152
14,0.05408294779466994
15,0.05223694471297441
16,0.05187689853303226
17,0.05120917340671575
18,0.05097576074394179
19,0.05098115781575074
20,0.04874193976506775
21,0.049199773757546035
22,0.04829947710221196
23,0.04625932361792635
24,0.047175392462515536
25,0.04613473894143546
26,0.04631732827351417
27,0.04498003738253941
28,0.04458757315152957
29,0.04546173100854144
30,0.04642650687400206
