epoch,loss
1,0.6918310927756038
2,0.21186743989402865
3,0.11802518533335792
4,0.09300146937186335
5,0.0726139313644833
6,0.0709092973926921
7,0.05639846328599953
8,0.050382119959887166
9,0.047954216691446894
10,0.04633351544171204
11,0.0459869175137561
12,0.04557683139487549
13,0.04396178049069864
14,0.04309600453685831
15,0.04458040698075
16,0.04441322538035887
17,0.04354126052356061
18,0.042587634911875664
19,0.04403162839604013
20,0.0463006000643895
21,0.04361993180196962
22,0.0425576944777995
23,0.042464629758471324
24,0.0417652481040101
25,0.041269679726273927
26,0.04186329130589226
27,0.040796363795245136
28,0.04100364511027748
29,0.04237397498002759
30,0.04189856474598249
