k,silhouette,selected
2,0.2870546877384186,False
3,0.31659257411956787,True
4,0.26906758546829224,False
5,0.1959494799375534,False
6,0.2053450495004654,False
7,0.22401531040668488,False
8,0.23322956264019012,False
