k,silhouette,bic,aic,selected
2,0.27930450439453125,-9299.930475472014,-10441.546447753906,False
3,0.26940298080444336,-9547.464061467632,-11261.759521484375,False
4,0.2210717499256134,-9660.587613283562,-11947.562561035156,True
5,0.17019544541835785,-9551.076246886601,-12410.730682373047,False
6,0.2162943184375763,-9396.377105831438,-12828.711029052734,False
7,0.23539596796035767,-9187.285295098542,-13192.298706054688,False
8,0.21334712207317352,-8859.85452562541,-13437.547424316406,False
